Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image1,0,-0.5156318605841118,-0.19576406247555414,-0.03313939717017163,0.5045830652865695,0.06784623875360214,-0.09725384941810972,-0.2680145714718084,0.6850269864435055,0.4700109117239512,0.40404612132645845,-0.12169239728307879,1.0005795485092435,-0.03418761219373256
Image2,0,-0.12900098177100583,0.20291612459137487,0.365545405922297,2.745684917754145,-0.15018364092066178,-0.17585714768361155,-0.5854144024832589,2.0900095061551154,2.865199360679011,1.3452777426021856,-0.7990746116495919,1.2642087859505535,-0.03418761219373256
Image3,1,-0.37496277194705635,0.9256423503544252,0.9845486383039818,-1.026571055318228,0.37448108423941207,0.03704263945644332,-0.4209536193849501,-1.3358037941300172,-0.9882086073548556,-1.6491715020043873,0.6936121859305231,0.8505228435202954,-0.03418761219373256
Image4,1,-0.616398622237596,0.5318257272407745,0.6607318160909125,-1.0264242843809193,0.6151064175289102,0.1601809990524471,0.2124965003724377,-1.334976306691065,-0.98809121551226,-1.8400895934945345,1.6227790950162253,0.3219984529712391,-0.03418761219373256
Image5,0,-0.37947805629428644,0.039445607808706366,0.20832422327436215,1.0411176872932624,0.07047960094399898,-0.09409031078013504,0.42947459746520744,1.075705569896723,1.0223064299947189,0.17109211781386957,1.1545903629598167,0.650767320724379,-0.03418761219373256
Image6,0,-0.3430121404068377,-0.2218463089595772,-0.06119326623541269,1.9992261597080407,-0.1455874786464238,-0.1757310105721134,-0.20898320515885724,1.676687798568354,2.0429444722176107,0.9295565924145825,-0.2731372782166615,0.7920780411939877,-0.03418761219373256
Image7,0,0.49153494565145034,0.45274879685527003,0.5920613842642071,0.7859898851457449,-0.4578913377437025,-0.2732310210010644,-0.11651495190580775,0.8965439259113459,0.7581528880187939,0.4146091698834365,0.09827339349280252,0.7255666326782637,-0.03418761219373256
Image8,0,1.124399330866802,0.7676461964126186,0.8580157124320626,0.4846393438455878,-0.6320822881447982,-0.31670526866906595,-0.3021670445777082,0.6696184145591864,0.45002386666319605,0.41436856609574224,-0.24670317041594028,0.80313672615746,-0.03418761219373256
Image9,0,1.8213487871979732,0.9733734368466592,1.0219656205465737,0.3041587794893897,-0.7706365714269758,-0.3452345945375532,-0.3118051466796068,0.5240029761804328,0.2678698527185893,0.37045355719171114,-0.3628476094099085,0.7089392067111943,-0.03418761219373256
Image10,1,-0.17679639873737485,0.8229118847152138,0.9027584254635486,-1.0047251943514843,0.10241280540978442,-0.08339822121091475,-0.5056883872598924,-1.2293624031150634,-0.969881959120724,-0.9209809360428758,-0.05821227673985764,0.46117892650959463,-0.03418761219373256
